label,tilt_1,tilt_2,tilt_3,tilt_4,tilt_5,tilt_6,tilt_7,tilt_8,tilt_9,tilt_10,tilt_11,tilt_12,tilt_13,tilt_14,accel_x,accel_y,accel_z
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-3.18,9.26,2.71
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.14,8.94,3.26
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.63,8.08,4.86
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-2.90,9.06,3.10
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.86,7.06,6.12
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.73,8.32,4.16
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.96,8.00,4.20
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0.31,8.16,-0.55
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.22,8.83,3.80
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.51,7.96,4.94
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-5.22,7.10,4.47
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-5.02,7.37,4.35
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.12,7.92,5.26
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.55,8.24,4.90
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.00,9.10,2.43
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.82,8.47,4.31
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.71,7.45,5.22
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-2.98,9.49,2.63
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.16,8.55,4.63
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-3.02,8.43,4.20
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-2.90,8.83,3.22
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-0.82,7.45,6.43
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.98,8.39,4.39
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.00,8.47,4.59
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-3.14,8.75,3.84
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.33,7.65,5.26
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.14,9.14,3.26
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.90,8.43,4.43
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.26,8.94,3.33
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.26,8.71,3.92
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.86,8.28,4.67
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.02,8.16,5.02
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.67,8.47,1.92
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.55,6.75,5.06
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.37,9.38,2.55
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-1.84,7.22,5.33
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-2.90,9.22,3.14
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.55,7.14,6.00
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-2.98,10.16,0.75
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.39,7.61,5.33
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.49,9.06,3.18
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.31,8.16,4.00
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-3.18,8.43,4.35
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.59,6.90,6.28
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.67,6.98,6.35
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.26,9.18,3.14
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.71,7.49,5.37
13,1,1,1,1,0,1,1,1,1,1,1,0,1,0,-5.02,6.55,5.22
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-4.00,8.55,3.65
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-2.31,8.63,3.96
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.90,9.14,3.22
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.00,8.43,4.79
13,0,0,0,0,0,1,1,1,1,1,0,1,1,0,-2.43,8.16,4.94
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.77,8.28,4.20
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.08,8.28,4.98
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.94,8.67,3.88
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.18,8.24,4.82
13,1,1,1,1,0,1,1,1,0,1,0,1,1,0,-2.86,6.51,6.35
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.43,7.45,5.49
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.96,7.22,4.16
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.90,7.85,3.73
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.12,7.14,5.14
13,1,1,1,1,0,1,1,1,0,1,0,0,1,0,-4.00,4.90,8.90
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.33,8.94,3.30
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.59,8.36,4.79
13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-3.61,6.79,5.81
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.31,8.59,4.04
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-2.98,9.02,3.26
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.24,8.24,3.77
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.30,8.94,3.65
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-5.06,7.22,4.75
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.30,9.10,3.26
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.30,8.12,4.75
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.63,7.41,5.53
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.28,8.43,3.53
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.51,8.55,4.75
13,0,0,0,0,0,1,1,1,1,1,0,0,1,0,-2.75,8.04,5.45
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-2.90,8.94,3.26
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.92,8.08,4.16
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.67,8.36,4.82
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-3.33,8.28,4.67
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.18,8.98,3.57
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.67,8.47,4.43
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.02,8.43,4.86
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.45,8.87,3.33
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-2.94,9.22,3.26
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.51,8.12,4.75
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.69,7.61,4.90
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-1.45,8.75,4.55
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.79,8.08,4.98
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.86,8.32,4.51
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.16,8.39,4.90
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.94,8.24,4.86
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.67,8.16,4.94
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.59,7.18,6.12
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-3.26,8.79,3.73
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.18,9.30,2.98
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.41,8.98,3.14
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.75,7.69,5.18
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-2.98,9.14,3.65
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.75,8.16,4.75
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.10,8.79,3.61
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.59,8.39,4.59
13,1,0,1,1,0,1,1,1,1,1,1,0,1,0,-1.77,8.39,4.98
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.30,8.87,3.30
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.06,9.10,3.06
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.26,8.90,3.49
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-4.04,8.28,3.88
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.80,8.00,4.20
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.49,7.34,5.41
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-2.98,9.26,2.71
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-2.98,9.10,3.37
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-2.98,8.98,3.41
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-3.10,9.10,3.30
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.39,8.12,5.02
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.02,7.88,4.71
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-3.30,8.79,3.80
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.57,7.61,5.10
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.67,8.04,5.02
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.86,7.57,5.33
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-2.63,8.98,3.61
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.86,7.61,4.16
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.49,8.20,4.20
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.33,8.83,3.49
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.02,8.94,3.53
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.37,8.98,3.61
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.88,7.49,5.26
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.47,7.30,4.94
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.49,9.02,3.14
13,0,0,1,1,0,1,1,1,1,1,0,0,1,0,-4.12,9.65,4.90
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-1.49,8.55,4.12
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.79,7.49,5.49
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-4.47,6.94,6.71
13,0,0,0,0,0,1,1,1,1,1,1,1,1,0,-2.51,8.24,4.94
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.71,8.04,5.02
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.67,8.39,4.39
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.30,9.10,3.02
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.57,8.24,4.16
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-0.86,7.88,5.69
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.45,8.94,2.98
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.67,8.43,4.55
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.00,7.53,5.18
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.82,8.00,4.98
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.55,7.88,5.02
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.26,8.98,3.33
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.69,8.67,3.73
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.90,7.77,4.90
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.26,7.02,5.33
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.59,7.22,5.88
13,1,1,1,1,0,1,1,1,0,1,1,1,1,0,-3.10,5.22,7.92
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.41,7.49,5.18
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.86,7.37,5.61
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-2.98,8.98,3.49
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.24,8.00,5.41
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.98,7.73,5.49
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.88,9.53,2.67
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.20,8.43,3.69
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-2.51,7.37,5.96
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.92,7.30,5.22
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.73,7.73,5.30
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.55,7.96,5.18
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.22,8.94,4.75
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.82,8.16,4.82
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.55,8.36,4.67
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.59,8.32,4.55
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.14,8.90,3.53
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.53,9.10,2.86
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-3.06,8.94,3.49
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.14,8.79,3.69
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-4.16,8.20,3.92
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-4.16,7.34,5.45
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.33,9.14,3.06
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.75,8.90,3.92
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.41,8.94,3.37
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.90,8.32,4.63
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-3.10,8.94,3.61
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.00,7.96,4.35
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.79,8.51,4.31
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-2.75,9.22,3.30
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-3.06,7.92,4.86
13,1,1,1,1,0,1,1,1,0,1,1,0,1,0,-4.43,4.63,8.12
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.41,9.06,3.14
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.28,7.96,5.02
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-3.14,9.02,3.37
13,1,1,1,1,0,1,1,1,1,1,1,1,1,0,-3.65,7.18,5.26
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-2.75,9.30,2.98
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.24,7.81,5.14
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.79,7.81,5.30
13,1,0,1,1,0,1,1,1,0,1,0,1,1,0,-2.98,6.75,6.63
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.90,6.51,6.75
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.12,8.16,4.39
13,1,0,1,1,1,1,1,1,1,1,0,1,1,0,-3.14,8.90,3.77
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.35,8.08,5.06
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.55,8.04,4.94
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-4.63,6.86,5.14
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.26,8.71,3.84
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-3.49,8.75,3.45
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.55,8.43,5.14
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.18,7.77,5.02
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-2.94,8.08,4.90
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.63,8.39,4.63
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.45,8.51,3.10
13,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-2.98,9.10,2.39
13,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-3.30,8.79,3.53
13,1,1,1,1,0,1,1,1,1,1,0,1,1,0,-3.65,7.65,4.59
13,1,0,1,1,0,1,1,1,1,1,1,1,1,0,-2.35,7.96,5.26
13,1,0,1,1,1,1,1,1,1,1,1,1,1,0,-2.86,9.10,3.41
13,1,1,1,1,0,1,1,1,1,1,0,0,1,0,-4.55,6.20,6.79
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.79,8.87,3.84
13,1,0,1,1,0,1,1,1,1,1,0,1,1,0,-2.59,8.36,4.59
